Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
80,1937,PCC,7,2,2,.727,10.07,0.34,,13,,James Phelan (7-2-2),,
81,1936,PCC,7,2,1,.750,16.19,8.59,,4,5,James Phelan (7-2-1),Rose Bowl-L,
82,1935,PCC,5,3,0,.625,11.42,5.79,,,,James Phelan (5-3),,
83,1934,PCC,6,1,1,.813,7.56,2.06,,,,James Phelan (6-1-1),,
84,1933,PCC,5,4,0,.556,7.67,6.22,,,,James Phelan (5-4),,
85,1932,PCC,6,2,2,.700,13.60,5.10,,,,James Phelan (6-2-2),,
86,1931,PCC,5,3,1,.611,12.10,7.54,,,,James Phelan (5-3-1),,
87,1930,PCC,5,4,0,.556,7.40,1.51,,,,James Phelan (5-4),,
88,1929,PCC,2,6,1,.278,-0.03,3.42,,,,Enoch Bagshaw (2-6-1),,
89,1928,PCC,7,4,0,.636,4.85,-1.24,,,,Enoch Bagshaw (7-4),,
90,1927,PCC,9,2,0,.818,9.40,-3.78,,,,Enoch Bagshaw (9-2),,
91,1926,PCC,8,2,0,.800,10.41,-1.39,,,,Enoch Bagshaw (8-2),,
92,1925,PCC,10,1,1,.875,12.96,-2.29,,,,Enoch Bagshaw (11-0-1),Rose Bowl-L,
93,1924,PCC,8,1,1,.850,12.02,-3.78,,,,Enoch Bagshaw (8-1-1),,
94,1923,PCC,10,1,1,.875,12.42,-3.42,,,,Enoch Bagshaw (10-1-1),Rose Bowl-T,
95,1922,PCC,6,1,1,.813,5.39,-1.61,,,,Enoch Bagshaw (6-1-1),,
96,1921,PCC,3,4,1,.438,-4.39,-0.51,,,,Enoch Bagshaw (3-4-1),,
97,1920,PCC,1,5,0,.167,-12.04,-5.37,,,,Stub Allison (1-5),,
98,1919,PCC,5,1,0,.833,8.03,-2.81,,,,Claude Hunt (5-1),,
99,1918,PCC,1,1,0,.500,-3.83,-3.83,,,,Anthony Savage (1-1),,
100,1917,PCC,1,2,1,.375,-8.54,-1.04,,,,Claude Hunt (1-2-1),,
101,1916,PCC,6,0,1,.929,12.41,-3.73,,,,Gilmour Dobie (6-0-1),,
