Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
69,1949,PCC,10,1,0,.909,27.00,12.00,,2,3,Pappy Waldorf (10-1),Rose Bowl-L,
70,1948,PCC,10,1,0,.909,20.56,5.02,,4,4,Pappy Waldorf (10-1),Rose Bowl-L,
71,1947,PCC,9,1,0,.900,15.72,4.22,,4,15,Pappy Waldorf (9-1),,
72,1946,PCC,2,7,0,.222,-4.48,3.52,,,,Frank Wickhorst (2-7),,
73,1945,PCC,4,5,1,.450,-5.64,-4.44,,,,Buck Shaw (4-5-1),,
74,1944,PCC,3,6,1,.350,-8.03,-2.23,,12,,Stub Allison (3-6-1),,
75,1943,PCC,4,6,0,.400,-5.27,-2.97,,20,,Stub Allison (4-6),,
76,1942,PCC,5,5,0,.500,1.15,2.65,,,,Stub Allison (5-5),,
77,1941,PCC,4,5,0,.444,15.03,11.92,,,,Stub Allison (4-5),,
78,1940,PCC,4,6,0,.400,7.50,10.50,,,,Stub Allison (4-6),,
79,1939,PCC,3,7,0,.300,-4.70,-0.40,,,,Stub Allison (3-7),,
80,1938,PCC,10,1,0,.909,16.09,3.46,,3,14,Stub Allison (10-1),,
81,1937,PCC,10,0,1,.955,18.02,2.02,,1,2,Stub Allison (10-0-1),Rose Bowl-W,
82,1936,PCC,6,5,0,.545,8.32,3.95,,,,Stub Allison (6-5),,
83,1935,PCC,9,1,0,.900,14.18,3.58,,,,Stub Allison (9-1),,
84,1934,PCC,6,6,0,.500,0.55,-1.54,,,,William Ingram (6-6),,
85,1933,PCC,6,3,2,.636,11.30,3.30,,,,William Ingram (6-3-2),,
86,1932,PCC,7,3,2,.667,9.20,3.36,,,,William Ingram (7-3-2),,
