Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,5,5,0,.500,0.30,-0.51,,,,Mike MacIntyre (5-5),,
2,2016,Pac-12,10,4,0,.714,12.18,5.54,,9,17,Mike MacIntyre (10-4),Alamo Bowl-L,
3,2015,Pac-12,4,9,0,.308,-3.51,1.33,,,,Mike MacIntyre (4-9),,
4,2014,Pac-12,2,10,0,.167,-3.63,6.45,,,,Mike MacIntyre (2-10),,
5,2013,Pac-12,4,8,0,.333,-1.99,6.18,,,,Mike MacIntyre (4-8),,
6,2012,Pac-12,1,11,0,.083,-12.66,4.51,,,,Jon Embree (1-11),,
7,2011,Pac-12,3,10,0,.231,-8.67,3.26,,,,Jon Embree (3-10),,
