Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,5,4,0,.556,2.45,-0.67,,20,,Kyle Whittingham (5-4),,
2,2016,Pac-12,9,4,0,.692,8.65,2.19,,11,23,Kyle Whittingham (9-4),Foster Farms Bowl-W,
3,2015,Pac-12,10,3,0,.769,11.39,4.32,,3,17,Kyle Whittingham (10-3),Las Vegas Bowl-W,
4,2014,Pac-12,9,4,0,.692,9.84,5.14,,18,21,Kyle Whittingham (9-4),Las Vegas Bowl-W,
5,2013,Pac-12,5,7,0,.417,6.96,9.55,,,,Kyle Whittingham (5-7),,
6,2012,Pac-12,5,7,0,.417,2.51,3.09,,,,Kyle Whittingham (5-7),,
7,2011,Pac-12,8,5,0,.615,3.16,-0.30,,,,Kyle Whittingham (8-5),Sun Bowl-W,
